Time,Amplitude,Amplitude,Position (s),Position (s)
,Rep1,Rep2,Rep1,Rep2
-30.0,1.0,1.0,7.1,12.5
-20.0,1.0555422920946018,1.0193670377916082,7.0,11.0
-10.0,1.1044964078686543,0.9300320788608027,7.1,11.1
0.0,1.2082853318760702,1.1450189835564355,7.3,10.8
10.0,1.2309204672300684,1.1970281008188963,7.5,10.8
20.0,1.2896924547753168,1.0986985014528166,7.5,12.1
30.0,1.3650204639811623,1.2273161597511733,7.3,14.2
40.0,1.385168435455652,0.9641600833127081,7.5,10.5
50.0,1.4318029899812004,1.3957043536031124,7.5,12.9
60.0,1.4498502998697926,1.402632651190016,7.8,11.5
70.0,1.43694995636403,1.510492299709365,7.4,11.1
80.0,1.512168358782453,1.3363152747388192,7.5,11.4
90.0,1.5353222677134941,1.172619353000722,7.6,11.7
100.0,1.5191229512853552,1.2395707617644989,7.6,13.0
110.0,1.4328817790105923,1.1541455453455887,7.7,13.4
120.0,1.5835325799178686,1.2160377244954295,7.8,11.5
