Time,Amplitude,Amplitude,Position (s),Position (s)
,Rep1,Rep2,Rep1,Rep2
-30.0,1.0,1.0,10.3,10.2
-20.0,0.9102857540633031,0.8968512708344307,10.9,10.6
-10.0,1.0106746845244918,0.8542532207936435,10.3,11.1
0.0,0.9140762907797125,0.864332651714132,10.5,10.2
10.0,1.031510377972822,0.8587659303525852,10.5,9.9
20.0,0.7975995971111134,0.8390765359064369,12.4,10.2
30.0,0.9719248279180258,0.7626717540331662,10.4,10.1
40.0,0.8103071420469786,0.738449266142644,11.6,9.6
50.0,0.8250402369715455,0.7189103479520932,11.3,9.6
60.0,0.8366290974480327,0.7482948723320272,10.2,10.3
70.0,0.8080411827945874,0.7717989666622703,10.1,10.3
80.0,0.7994262773446037,0.7275886137156674,10.4,10.7
90.0,0.7606304883438411,0.6870928184240451,11.3,9.7
100.0,0.7170902780421864,0.7785979011810011,10.0,10.7
110.0,0.7186311032707502,0.6670086668166341,11.2,9.8
120.0,0.7698960693786474,0.5086674027144729,9.5,10.2
